# Z-Coordinate, Y-Displacement
1.570000e+00, 2.030050e-01
1.575000e+00, 2.022193e-01
1.580000e+00, 2.013817e-01
1.585000e+00, 2.004927e-01
1.590000e+00, 1.995527e-01
1.595000e+00, 1.985624e-01
1.600000e+00, 1.975221e-01
1.605000e+00, 1.964326e-01
1.610000e+00, 1.952943e-01
1.615000e+00, 1.941078e-01
1.620000e+00, 1.928737e-01
1.625000e+00, 1.915926e-01
1.630000e+00, 1.902649e-01
1.635000e+00, 1.888912e-01
1.640000e+00, 1.874722e-01
1.645000e+00, 1.860082e-01
1.650000e+00, 1.844999e-01
1.655000e+00, 1.829477e-01
1.660000e+00, 1.813521e-01
1.665000e+00, 1.797137e-01
1.670000e+00, 1.780329e-01
1.675000e+00, 1.763102e-01
1.680000e+00, 1.745462e-01
1.685000e+00, 1.727413e-01
1.690000e+00, 1.708960e-01
1.695000e+00, 1.690108e-01
1.700000e+00, 1.670862e-01
1.705000e+00, 1.651227e-01
1.710000e+00, 1.631208e-01
1.715000e+00, 1.610811e-01
1.720000e+00, 1.590039e-01
1.725000e+00, 1.568898e-01
1.730000e+00, 1.547392e-01
1.735000e+00, 1.525526e-01
1.740000e+00, 1.503305e-01
1.745000e+00, 1.480731e-01
1.750000e+00, 1.457810e-01
1.755000e+00, 1.434546e-01
1.760000e+00, 1.410941e-01
1.765000e+00, 1.387000e-01
1.770000e+00, 1.362725e-01
1.775000e+00, 1.338121e-01
1.780000e+00, 1.313191e-01
1.785000e+00, 1.287937e-01
1.790000e+00, 1.262363e-01
1.795000e+00, 1.236473e-01
1.800000e+00, 1.210270e-01
1.805000e+00, 1.183757e-01
1.810000e+00, 1.156939e-01
1.815000e+00, 1.129819e-01
1.820000e+00, 1.102403e-01
1.825000e+00, 1.074693e-01
1.830000e+00, 1.046695e-01
1.835000e+00, 1.018414e-01
1.840000e+00, 9.898560e-02
1.845000e+00, 9.610252e-02
1.850000e+00, 9.319277e-02
1.855000e+00, 9.025695e-02
1.860000e+00, 8.729564e-02
1.865000e+00, 8.430946e-02
1.870000e+00, 8.129903e-02
1.875000e+00, 7.826500e-02
1.880000e+00, 7.520795e-02
1.885000e+00, 7.212870e-02
1.890000e+00, 6.902784e-02
1.895000e+00, 6.590609e-02
1.900000e+00, 6.276415e-02
1.905000e+00, 5.960276e-02
